mm	phi	perc
0.000172633	12.5	0
0.000244141	12	0
0.000345267	11.5	0
0.000488	11	0
0.0009	10.5	0.01
0.001	10	0.01
0.0014	9.5	0.04
0.002	9	0.11
0.0028	8.5	0.3
0.0039	8	0.62
0.0055	7.5	1.27
0.0078	7	2.21
0.011	6.5	3.36
0.0156	6	4.24
0.0221	5.5	4.07
0.0313	5	3.06
0.0442	4.5	2.26
0.0625	4	2.22
0.0884	3.5	2.46
0.125	3	10.13
0.1768	2.5	17.78
0.25	2	18.63
0.3536	1.5	16.28
0.5	1	7.54
0.7071	0.5	2.42
1	0	0.62
1.41	-0.5	0.2
2	-1	0.16
2.8284	-1.5	0
4	-2	0
5.66	-2.5	0
