mm	phi	perc
0.000488	11	0
0.0009	10.5	0.04
0.001	10	0.03
0.0014	9.5	0.05
0.002	9	0.06
0.0028	8.5	0.35
0.0039	8	1.19
0.0055	7.5	2.26
0.0078	7	4.59
0.011	6.5	7.15
0.0156	6	11.1
0.0221	5.5	14.99
0.0313	5	15.54
0.0442	4.5	15.46
0.0625	4	10.46
0.0884	3.5	8.04
0.125	3	5.36
0.1768	2.5	1.88
0.25	2	1.45
0.3536	1.5	0
0.5	1	0
0.7071	0.5	0
1	0	0
1.41	-0.5	0
2	-1	0
2.8284	-1.5	0
4	-2	0
5.66	-2.5	0
