mm	phi	PDF
0.000172633	12.5	0
0.000244141	12	0
0.000345267	11.5	0
0.000488	11	0
0.0009	10.5	0.09
0.001	10	0.1525
0.0014	9.5	0.4725
0.002	9	1.1525
0.0028	8.5	2.3525
0.0039	8	3.76
0.0055	7.5	6.175
0.0078	7	8.935
0.011	6.5	11.5075
0.0156	6	12.8375
0.0221	5.5	10.84
0.0313	5	6.755
0.0442	4.5	5.48
0.0625	4	9.69
0.0884	3.5	15.4675
0.125	3	4.1375
0.1768	2.5	0.17
0.25	2	0.025
0.3536	1.5	0
0.5	1	0
0.7071	0.5	0
1	0	0
1.41	-0.5	0
2	-1	0
2.8284	-1.5	0
4	-2	0
5.66	-2.5	0
