mm	phi	PDF
0	NA	20.43
0.01	6.64385619	23.33
0.02	5.64385619	13.38
0.03	5.058893689	6.26
0.04	4.64385619	3.61
0.05	4.321928095	2.8
0.06	4.058893689	2.82
0.07	3.836501268	3.78
0.08	3.64385619	4.69
0.09	3.473931188	4.95
0.1	3.321928095	4.62
0.11	3.184424571	3.63
0.12	3.058893689	2.46
0.13	2.943416472	1.48
0.14	2.836501268	0.83
0.15	2.736965594	0.93
0.16	2.64385619	0
