mm	phi	PDF
0.000488	11	0
0.0009	10.5	0.07
0.001	10	0.03
0.0014	9.5	0.05
0.002	9	0.2
0.0028	8.5	0.73
0.0039	8	1.68
0.0055	7.5	3.71
0.0078	7	6.4
0.011	6.5	10.06
0.0156	6	14.41
0.0221	5.5	16.63
0.0313	5	16.45
0.0442	4.5	11.69
0.0625	4	7.71
0.0884	3.5	5.32
0.125	3	2.93
0.1768	2.5	0.74
0.25	2	1.19
0.3536	1.5	0
0.5	1	0
0.7071	0.5	0
1	0	0
1.41	-0.5	0
2	-1	0
2.8284	-1.5	0
4	-2	0
5.66	-2.5	0
