mm	phi	PDF
0	NA	0.09
0.001	9.965784285	0.63
0.002	8.965784285	1.52
0.003	8.380821784	2.2
0.004	7.965784285	2.35
0.005	7.64385619	2.39
0.006	7.380821784	2.66
0.007	7.158429363	2.89
0.008	6.965784285	2.91
0.009	6.795859283	2.79
0.01	6.64385619	2.65
0.011	6.506352666	2.57
0.012	6.380821784	2.53
0.013	6.265344567	2.51
0.014	6.158429363	2.46
0.015	6.058893689	2.36
0.016	5.965784285	2.23
0.017	5.878321443	2.13
0.018	5.795859283	2
0.019	5.717856771	1.89
0.02	5.64385619	1.79
0.021	5.573466862	1.71
0.022	5.506352666	1.58
0.023	5.442222329	1.45
0.024	5.380821784	1.33
0.025	5.321928095	1.24
0.026	5.265344567	1.2
0.027	5.210896782	1.15
0.028	5.158429363	1.02
0.029	5.10780329	0.93
0.03	5.058893689	0.88
0.031	5.011587974	0.76
0.032	4.965784285	0.65
0.033	4.921390165	0.66
0.034	4.878321443	0.65
0.035	4.836501268	0.62
0.036	4.795859283	0.58
0.037	4.756330919	0.54
0.038	4.717856771	0.48
0.039	4.680382066	0.42
0.04	4.64385619	0.37
0.041	4.60823228	0.36
0.042	4.573466862	0.39
0.043	4.53951953	0.42
0.044	4.506352666	0.43
0.045	4.473931188	0.44
0.046	4.442222329	0.41
0.047	4.411195433	0.34
0.048	4.380821784	0.25
0.049	4.351074441	0.22
0.05	4.321928095	0.24
0.051	4.293358943	0.25
0.052	4.265344567	0.27
0.053	4.23786383	0.29
0.054	4.210896782	0.29
0.055	4.184424571	0.27
0.056	4.158429363	0.3
0.057	4.13289427	0.32
0.058	4.10780329	0.31
0.059	4.083141235	0.27
0.06	4.058893689	0.26
0.061	4.035046947	0.28
0.062	4.011587974	0.29
0.063	3.988504361	0.28
0.064	3.965784285	0.26
0.065	3.943416472	0.24
0.066	3.921390165	0.27
0.067	3.899695094	0.3
0.068	3.878321443	0.31
0.069	3.857259828	0.31
0.07	3.836501268	0.32
0.071	3.816037165	0.36
0.072	3.795859283	0.43
0.073	3.775959726	0.46
0.074	3.756330919	0.41
0.075	3.736965594	0.35
0.076	3.717856771	0.37
0.077	3.698997744	0.37
0.078	3.680382066	0.35
0.079	3.662003536	0.36
0.08	3.64385619	0.43
0.081	3.625934282	0.5
0.082	3.60823228	0.51
0.083	3.590744853	0.46
0.084	3.573466862	0.39
0.085	3.556393349	0.35
0.086	3.53951953	0.41
0.087	3.522840789	0.52
0.088	3.506352666	0.56
0.089	3.490050854	0.58
0.09	3.473931188	0.6
0.091	3.457989644	0.51
0.092	3.442222329	0.44
0.093	3.426625474	0.47
0.094	3.411195433	0.5
0.095	3.395928676	0.49
0.096	3.380821784	0.51
0.097	3.365871442	0.52
0.098	3.351074441	0.48
0.099	3.336427665	0.42
0.1	3.321928095	0.48
0.101	3.307572802	0.49
0.102	3.293358943	0.49
0.103	3.279283757	0.48
0.104	3.265344567	0.47
0.105	3.251538767	0.47
0.106	3.23786383	0.46
0.107	3.224317298	0.43
0.108	3.210896782	0.44
0.109	3.19759996	0.43
0.11	3.184424571	0.41
0.111	3.171368418	0.4
0.112	3.158429363	0.39
0.113	3.145605322	0.38
0.114	3.13289427	0.37
0.115	3.120294234	0.36
0.116	3.10780329	0.35
0.117	3.095419565	0.33
0.118	3.083141235	0.32
0.119	3.070966521	0.31
0.12	3.058893689	0.3
0.121	3.046921047	0.28
0.122	3.035046947	0.27
0.123	3.023269779	0.26
0.124	3.011587974	0.25
0.125	3	0.24
0.126	2.988504361	0.23
0.127	2.977099598	0.22
0.128	2.965784285	0.21
0.129	2.954557029	0.2
0.13	2.943416472	0.19
0.131	2.932361283	0.18
0.132	2.921390165	0.17
0.133	2.910501849	0.16
0.134	2.899695094	0.15
0.135	2.888968688	0.14
0.136	2.878321443	0.12
0.137	2.867752202	0.13
0.138	2.857259828	0.12
0.139	2.846843212	0.11
0.14	2.836501268	0.11
0.141	2.826232932	0.1
0.142	2.816037165	0.1
0.143	2.805912948	0.09
0.144	2.795859283	0.09
0.145	2.785875195	0.08
0.146	2.775959726	0.08
0.147	2.76611194	0.07
0.148	2.756330919	0.07
0.149	2.746615764	0.06
0.15	2.736965594	0.05
0.151	2.727379545	0.05
0.152	2.717856771	0.05
0.153	2.708396442	0.05
0.154	2.698997744	0.05
0.155	2.689659879	0.04
0.156	2.680382066	0.04
0.157	2.671163536	0.03
0.158	2.662003536	0.03
0.159	2.652901329	0.04
0.16	2.64385619	0.03
0.161	2.634867407	0.03
0.162	2.625934282	0.03
0.163	2.61705613	0.02
0.164	2.60823228	0.02
0.165	2.59946207	0.02
0.166	2.590744853	0.02
0.167	2.582079992	0.02
0.168	2.573466862	0.01
0.169	2.564904848	0.02
0.17	2.556393349	0.02
0.171	2.54793177	0.01
0.172	2.53951953	0.01
0.173	2.531156057	0.01
0.174	2.522840789	0
0.175	2.514573173	0.01
0.176	2.506352666	0.01
0.177	2.498178735	0.01
0.178	2.490050854	0.01
0.179	2.481968507	0.01
0.18	2.473931188	0.01
0.181	2.465938398	0.01
0.182	2.457989644	0.01
0.183	2.450084446	0
0.184	2.442222329	0.01
0.185	2.434402824	0
0.186	2.426625474	0.01
0.187	2.418889825	0.01
0.188	2.411195433	0
0.189	2.40354186	0.01
0.19	2.395928676	0
0.191	2.388355457	0
0.192	2.380821784	0.01
0.193	2.373327247	0.01
0.194	2.365871442	0
0.195	2.358453971	0
0.196	2.351074441	0
0.197	2.343732465	0
0.198	2.336427665	0
0.199	2.329159664	0.01
0.2	2.321928095	0
0.201	2.314732593	0
0.202	2.307572802	0
0.203	2.300448367	0
0.204	2.293358943	0
0.205	2.286304185	0
0.206	2.279283757	0
0.207	2.272297327	0
0.208	2.265344567	0
0.209	2.258425153	0.01
0.21	2.251538767	0
0.211	2.244685096	0
0.212	2.23786383	0
0.213	2.231074664	0
0.214	2.224317298	0
0.215	2.217591435	0
0.216	2.210896782	0.01
0.217	2.204233052	0
0.218	2.19759996	0
