mm	phi	PDF
0.219	2.190997225	0
0.22	2.184424571	0
0.221	2.177881725	0
0.222	2.171368418	0
0.223	2.164884385	0
0.224	2.158429363	0
0.225	2.152003093	0
0.226	2.145605322	0
0.227	2.139235797	0
0.228	2.13289427	0
0.229	2.126580497	0
0.23	2.120294234	0
0.231	2.114035243	0
0.232	2.10780329	0
0.233	2.10159814	0
0.234	2.095419565	0
0.235	2.089267338	0
0.236	2.083141235	0
0.237	2.077041036	0
0.238	2.070966521	0
0.239	2.064917477	0
0.24	2.058893689	0
0.241	2.052894948	0
0.242	2.046921047	0
0.243	2.040971781	0
0.244	2.035046947	0
0.245	2.029146346	0
0.246	2.023269779	0
0.247	2.017417053	0
0.248	2.011587974	0
0.249	2.005782353	0
0.25	2	0.02
0.251	1.994240731	0
